y_test,y_pred_5,y_pred_10,y_pred_20,y_pred_avg_only
35415,36222.0,25742.2,23941.4,33761.706024096384
51891,53045.2,51449.9,51455.0,47389.4688221709
16720,14510.8,17320.3,17198.65,26653.651219512194
33469,27466.0,25477.9,25417.4,22258.11192214112
26874,34834.0,34834.0,34834.0,28684.284968495176
36924,36119.6,32131.4,29753.55,28481.303482587064
27113,21750.4,20003.1,19090.15,20644.8
37935,34350.4,28942.8,28813.7,31370.958637469586
32330,37540.4,27655.9,24402.3,33761.706024096384
19022,14894.6,17529.4,17335.4,26653.651219512194
34990,35526.0,35663.3,35874.45,35912.12895377129
34493,27114.0,27114.0,27114.0,28684.284968495176
26356,32008.0,32008.0,32008.0,28684.284968495176
37476,37256.4,39332.2,36285.45,34868.50617283951
13187,26217.0,24370.8,24838.25,22258.11192214112
13412,18862.0,18862.0,18862.0,28684.284968495176
38504,30202.8,23726.4,23481.55,22112.456790123455
8676,14919.6,15896.4,14580.35,24111.288220551378
28179,25871.0,20037.9,15881.9,23680.93417721519
51059,52638.0,51689.5,51518.15,47389.4688221709
25938,22166.4,21725.1,16608.35,23680.93417721519
17798,17920.4,20388.9,18702.4,20644.8
26583,30679.8,23778.4,23075.4,22112.456790123455
36391,34917.2,39953.9,36240.35,34868.50617283951
41167,50254.2,50980.9,50887.75,47389.4688221709
23001,29756.25,29756.25,29756.25,28684.284968495176
22650,24633.6,26370.0,26370.0,28684.284968495176
8735,9775.0,15710.7,14558.65,24111.288220551378
28858,34391.0,34981.0,35456.7,35912.12895377129
27490,34034.0,29142.4,24512.35,33761.706024096384
24515,34000.6,28242.2,28120.0,31370.958637469586
9620,22875.2,22148.7,23986.15,22258.11192214112
11476,17015.5,17015.5,17015.5,28684.284968495176
37694,37548.0,33650.7,29736.95,28481.303482587064
32514,33611.0,34644.0,35245.2,35912.12895377129
17503,17503.0,17503.0,17503.0,28684.284968495176
26615,32712.0,35310.6,36997.25,38739.375
20403,30832.8,37585.5,35626.25,34868.50617283951
31121,38515.2,34060.5,29984.4,28481.303482587064
21512,28107.4,28107.4,28107.4,28684.284968495176
