
 42¢X F, Wind 12mph in from Rightfield, Cloudy, No Precipitation.
 72¢X F, Wind 12mph in from Rightfield, Cloudy, No Precipitation.
 72¢X F, Wind 3mph from Left to Right, Sunny, No Precipitation.
 64¢X F, Wind 1mph out to Rightfield, Cloudy, No Precipitation.
 80¢X F, Wind 10mph out to Rightfield, Cloudy, No Precipitation.
 57¢X F, Wind 6mph out to Rightfield, Overcast, No Precipitation.
 64¢X F, Wind 0mph, In Dome.
 66¢X F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
 80¢X F, Wind 12mph in from Leftfield, Sunny, No Precipitation.
 61¢X F, Wind 4mph out to Rightfield, Cloudy, No Precipitation.
 74¢X F, Wind 8mph from Left to Right, Sunny, No Precipitation.
 85¢X F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
 59¢X F, Wind 8mph in from Leftfield, Overcast, No Precipitation.
 77¢X F, Wind 20mph in from Leftfield, Cloudy, No Precipitation.
 82¢X F, Wind 10mph out to Rightfield, Cloudy, No Precipitation.
 73¢X F, Wind 13mph in from Leftfield, Sunny, No Precipitation.
 62¢X F, Wind 9mph in from Rightfield, Cloudy, No Precipitation.
 70¢X F, Wind 15mph out to Rightfield, Cloudy, No Precipitation.
 86¢X F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
 67¢X F, Wind 8mph from Right to Left, Overcast, No Precipitation.
 77¢X F, Wind 12mph in from Leftfield, Cloudy, No Precipitation.
 88¢X F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
 84¢X F, Wind 10mph in unknown direction, Cloudy, No Precipitation.
 76¢X F, Wind 6mph out to Centerfield, Sunny, No Precipitation.
 70¢X F, Wind 16mph in unknown direction, Cloudy, No Precipitation.
 57¢X F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
 80¢X F, Wind 7mph from Right to Left, Sunny, No Precipitation.
 71¢X F, Wind 3mph from Left to Right, Sunny, No Precipitation.
 61¢X F, Wind 1mph out to Rightfield, Sunny, No Precipitation.
 45¢X F, Wind 23mph in from Leftfield, Overcast, Rain.
 76¢X F, Wind 7mph from Left to Right, Cloudy, No Precipitation.
 71¢X F, Wind 8mph from Right to Left, Cloudy, No Precipitation.
 70¢X F, Wind 15mph from Right to Left, Cloudy, No Precipitation.
 70¢X F, Wind 12mph in from Rightfield, Sunny, No Precipitation.
 61¢X F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
 86¢X F, Wind 12mph in from Rightfield, Sunny, No Precipitation.
 79¢X F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 58¢X F, Wind 17mph out to Centerfield, Sunny, No Precipitation.
 70¢X F, Wind 7mph in from Leftfield, Sunny, No Precipitation.
 73¢X F, Wind 10mph from Left to Right, Sunny, No Precipitation.
 70¢X F, Wind 9mph in from Rightfield, Cloudy, No Precipitation.
 91¢X F, Wind 6mph from Left to Right, Sunny, No Precipitation.
 57¢X F, Wind 3mph out to Centerfield, Cloudy, No Precipitation.
 74¢X F, Wind 7mph in from Leftfield, Sunny, No Precipitation.
 79¢X F, Wind 0mph, Cloudy, No Precipitation.
 75¢X F, Wind 14mph from Left to Right, Sunny, No Precipitation.
 82¢X F, Wind 7mph out to Rightfield, Cloudy, No Precipitation.
 71¢X F, Wind 13mph out to Rightfield, Sunny, No Precipitation.
 72¢X F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 84¢X F, Wind 10mph out to Centerfield, Cloudy, No Precipitation.
 85¢X F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
 66¢X F, Wind 5mph from Left to Right, Sunny, No Precipitation.
 72¢X F, Wind 6mph from Left to Right, Sunny, No Precipitation.
 82¢X F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
 69¢X F, Wind 0mph, Cloudy, No Precipitation.
 71¢X F, Wind 13mph from Left to Right, Sunny, No Precipitation.
 58¢X F, Wind 20mph in from Centerfield, Cloudy, No Precipitation.
 69¢X F, Wind 7mph in from Centerfield, Cloudy, No Precipitation.
 70¢X F, Wind 6mph from Left to Right, Sunny, No Precipitation.
 89¢X F, Wind 6mph in from Centerfield, Sunny, No Precipitation.
 55¢X F, Wind 7mph in from Leftfield, Cloudy, No Precipitation.
 69¢X F, Wind 14mph from Left to Right, Cloudy, No Precipitation.
 65¢X F, Wind 20mph in from Leftfield, Overcast, No Precipitation.
 67¢X F, Wind 16mph out to Centerfield, Sunny, No Precipitation.
 85¢X F, Wind 25mph out to Centerfield, Cloudy, No Precipitation.
 78¢X F, Wind 2mph out to Leftfield, Sunny, No Precipitation.
 91¢X F, Wind 7mph out to Rightfield, Cloudy, No Precipitation.
 75¢X F, Wind 5mph from Left to Right, Sunny, No Precipitation.
 72¢X F, Wind 12mph out to Centerfield, Sunny, No Precipitation.
 60¢X F, Wind 8mph in from Centerfield, Overcast, No Precipitation.
 70¢X F, Wind 9mph out to Rightfield, Sunny, No Precipitation.
 82¢X F, Wind 7mph out to Centerfield, Sunny, No Precipitation.
 66¢X F, Wind 6mph in from Rightfield, Cloudy, No Precipitation.
 80¢X F, Wind 2mph in unknown direction, Cloudy, No Precipitation.
 78¢X F, Wind 3mph in from Rightfield, Sunny, No Precipitation.
 73¢X F, Wind 9mph out to Centerfield, Sunny, No Precipitation.
 75¢X F, Wind 14mph out to Rightfield, Cloudy, No Precipitation.
 55¢X F, Wind 13mph out to Leftfield, Cloudy, No Precipitation.
 93¢X F, Wind 9mph out to Rightfield, Cloudy, No Precipitation.
 61¢X F, Wind 17mph out to Centerfield, Cloudy, No Precipitation.
 84¢X F, Wind 6mph in from Rightfield, Sunny, No Precipitation.
 68¢X F, Wind 7mph out to Leftfield, Sunny, No Precipitation.
 89¢X F, Wind 12mph out to Leftfield, Sunny, No Precipitation.
 72¢X F, Wind 11mph out to Rightfield, Sunny, No Precipitation.
 82¢X F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
