attendance,is_federal_holiday,venue,on_grass,temperature,wind_speed,team1_name,team1_pre_win,team1_pre_loss,team1_pre_win_pct,team1_streak,team2_name,team2_pre_win,team2_pre_loss,team2_pre_win_pct,team2_streak,salary-500-800,salary-800-1500,salary-1500,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month_April,month_August,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weather_Cloudy,weather_Drizzle,weather_In Dome,weather_Overcast,weather_Rain,weather_Sunny,season_type,season,home_team_avg_att_last_year,start_hour,start_hour_label_afternoon,start_hour_label_evening,start_hour_label_night,start_hour_label_noon,game_page_url,start_time,previous_5_to_10MA,lle1,lle2
30380,0,Truist Park,1,0.7052054968048862,-1.0830448971493665,PHI,0.552004243285676,0.3029683793751617,0.5339805825242718,-0.3786444784385669,ATL,0.8698688144459097,0.0162472457401993,0.6057692307692307,1.5114862278782928,-1.214714887193472,-0.2182079702700156,0.4454914757096622,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,0.3497655554418811,12,0,0,0,1,https://www.baseball-reference.com/boxes/ATL/ATL202208030.shtml,2022-08-03 12:20:00,37818.8,0.00694779995866022,0.0030516905493612246
42169,0,Yankee Stadium III,1,1.082705723482719,-0.0930896767182867,SEA,0.5916125055581363,0.3437492606658417,0.5333333333333333,0.3938809207036373,NYY,1.14699841752889,-0.2285587778769695,0.6666666666666666,-0.4502163335842259,0.2463724244293002,-0.650536695478007,-0.3217994292534983,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,1.5141799502318507,13,0,0,0,1,https://www.baseball-reference.com/boxes/NYA/NYA202208030.shtml,2022-08-03 13:05:00,43337.6,0.009135796842010442,0.002885380456115829
20221,0,Globe Life Field,0,0.1389551567881363,-1.4790269853217983,BAL,0.4727877187407555,0.4253110232472019,0.5096153846153846,0.7801436202747395,TEX,0.1968397783872429,0.6690633087193164,0.4466019417475728,-0.8425568458767296,-0.7276857833192146,-1.9475228711019807,-1.4727357866982391,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,-0.4791870529334436,13,0,0,0,1,https://www.baseball-reference.com/boxes/TEX/TEX202208030.shtml,2022-08-03 13:05:00,24858.8,0.008369476313055567,-0.00021366059445716132
19753,0,Guaranteed Rate Field,1,1.554581006830011,1.4908386759714407,KCR,-0.0025114285287673,0.9146815987353628,0.3942307692307692,-0.3786444784385669,CHW,0.4343794381726547,0.4242572851021475,0.5048543689320388,0.3344646910007815,-1.214714887193472,-0.2182079702700156,-1.089090334216659,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-1.1105452508486513,13,0,0,0,1,https://www.baseball-reference.com/boxes/CHA/CHA202208030.shtml,2022-08-03 13:10:00,21704.6,0.009289856771918275,-0.001316300776144751
18642,0,Progressive Field,1,1.271455836821636,-0.8850538530631505,ARI,0.1955298828335338,0.6699963109912824,0.4466019417475728,0.3938809207036373,CLE,0.4739693814702234,0.3834562811659527,0.5145631067961165,-0.4502163335842259,-1.7017439910677297,-1.9475228711019807,-1.85638123917982,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-1.0356102453905314,13,0,0,0,1,https://www.baseball-reference.com/boxes/CLE/CLE202208030.shtml,2022-08-03 13:10:00,28026.0,0.00836481381992047,4.630206744252523e-06
32295,0,Minute Maid Park,1,-0.0497949565507802,-1.4790269853217983,BOS,0.4727877187407555,0.466091904537882,0.5047619047619047,1.1664063198458416,HOU,1.0282285876361843,-0.106155766068385,0.638095238095238,-0.8425568458767296,-1.214714887193472,-0.650536695478007,-1.089090334216659,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,0.6713034146551784,13,0,0,0,1,https://www.baseball-reference.com/boxes/HOU/HOU202208030.shtml,2022-08-03 13:10:00,36111.4,0.006834130612082434,-0.0005588330144689584
27851,0,Nationals Park,1,1.8377061768383856,-1.0830448971493665,NYM,0.9480868660102784,-0.104840433531639,0.6310679611650486,-0.3786444784385669,WSN,-0.1990596545884434,1.1586753559536542,0.3428571428571428,0.3344646910007815,0.2463724244293002,-1.0828654206859984,-1.089090334216659,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-0.2778167162227177,16,1,0,0,0,https://www.baseball-reference.com/boxes/WAS/WAS202208030.shtml,2022-08-03 16:05:00,25081.0,0.007987572886229291,-0.0009324935069613956
25190,0,Angel Stadium of Anaheim,1,0.3277052701270529,0.6988744996265769,OAK,-0.0817279530736877,1.0370242426074032,0.3714285714285714,-1.1511698775807713,LAA,0.1176598917921056,0.750665316591706,0.4271844660194174,0.3344646910007815,-0.2406566794449572,-1.9475228711019807,-1.85638123917982,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.93439024078442,18,0,1,0,0,https://www.baseball-reference.com/boxes/ANA/ANA202208030.shtml,2022-08-03 18:38:00,38791.2,0.008437161169802788,-0.00036854619103670136
44652,0,Petco Park,1,-0.0497949565507802,0.1049013673679291,COL,0.1955298828335338,0.7923389548633226,0.4339622641509434,-1.537432577151873,SDP,0.7510989845532038,0.2202522654211734,0.5660377358490566,1.5114862278782928,-0.2406566794449572,-1.0828654206859984,-1.089090334216659,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-0.0608322252201233,18,0,1,0,0,https://www.baseball-reference.com/boxes/SDN/SDN202208030.shtml,2022-08-03 18:40:00,32033.6,0.00672803510236244,0.0023632390103940073
8656,0,loanDepot park,0,-0.1441700132202385,-1.4790269853217983,CIN,0.0370968337436929,0.8331198361540028,0.4077669902912621,1.5526690194169437,MIA,0.2364297216848115,0.6690633087193164,0.4519230769230769,-2.019578382754241,-1.7017439910677297,-1.9475228711019807,-1.4727357866982391,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,regular,2022,-2.578373586788434,18,0,1,0,0,https://www.baseball-reference.com/boxes/MIA/MIA202208030.shtml,2022-08-03 18:40:00,11118.4,0.008308540887165705,0.0006345206979773565
