mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
27.741385793685915,0.4346810907273135,0.013212013244628906,0.0014709695321812617,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",-30869964.74738914,-28685948.7406744,-29267418.834597662,-28926237.729819156,-28842106.01161504,-29318335.21281908,798823.3883064765,38,-5556.074580797952,-5355.92650628016,-5409.9370453451365,-5378.311791800394,-5370.484709187342,-5414.146926682197,73.13186116054831,38,-4288.843345996387,-4122.427022721182,-4191.6124970118335,-4185.161981063796,-4216.417196915423,-4200.8924087417245,53.7898992968191,38,-0.18458103534992162,-0.17923456270173257,-0.17967072111988305,-0.17379724072077288,-0.17677668218675294,-0.1788120484158126,0.0035633708559471866,37
152.27244706153868,2.516428959732516,0.02942667007446289,0.0010208241496131685,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",-22876910.830447484,-21434330.32630729,-21150620.664278444,-20931582.788829286,-20653106.39951055,-21409310.20187461,777362.9217245543,29,-4782.98137467077,-4629.722489124731,-4598.980393987176,-4575.104675177311,-4544.568890391095,-4626.271564670217,83.19622466433253,29,-3587.4694218374016,-3506.1748468475544,-3514.778165429817,-3519.822783114197,-3505.6153994373312,-3526.7721233332604,30.816116452297752,29,-0.14771699374357644,-0.1449291913023282,-0.14159643552017276,-0.13827686248707297,-0.13866093880801006,-0.14223608437223206,0.0036375664081652807,28
303.921528673172,2.216463659966898,0.0508460521697998,0.005348779290709212,0.05,3,1000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",-21164855.177768555,-19766231.918103248,-19424663.224885464,-19120638.926438563,-19132392.2504058,-19721756.29952033,759140.1486754622,24,-4600.52770644505,-4445.923067047297,-4407.341968225913,-4372.7152807424545,-4374.059013137088,-4440.11340711956,84.55312789868847,24,-3421.8422126736928,-3339.1995886318027,-3344.194512825441,-3341.086656317327,-3342.168908209703,-3357.698375731593,32.11262941155059,24,-0.1395201158537724,-0.13594905613160058,-0.13333089327417755,-0.1301580848688245,-0.1303351749650889,-0.13385866501869276,0.003544279311247939,24
17.843199729919434,0.5388960085342417,0.014012622833251952,0.0022826530817848054,0.05,5,50,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",-30569050.547195908,-27782813.159151334,-28572008.512531366,-28518370.690696448,-28277114.315125704,-28743871.44494015,954270.5549190664,36,-5528.928517099484,-5270.940443521567,-5345.279086495986,-5340.259421666371,-5317.622994828206,-5360.6060927223225,88.16894923077479,36,-4305.4187736973745,-4106.139819227634,-4170.251615226641,-4200.675416971677,-4209.143155787189,-4198.325756182103,64.61865953906653,37,-0.1884323722798968,-0.18084075219630755,-0.18107447053506376,-0.1765533584507101,-0.1794144807178971,-0.18126308683597506,0.003929668751333279,39
38.97658686637878,0.4961256886495069,0.01761603355407715,0.0024190426056089572,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",-24493476.45520835,-22574909.710781213,-22795192.016353298,-22450895.853107195,-22193969.76970651,-22901688.76103131,819267.3048717736,31,-4949.088446896898,-4751.306105775675,-4774.431067295171,-4738.237631557455,-4711.047629742933,-4784.822176253627,84.64929215785104,31,-3733.882004351093,-3584.326832458615,-3646.9009802812907,-3625.186459904649,-3656.272410703866,-3649.313737539903,49.01318116460805,30,-0.15868030964087282,-0.15326121073752025,-0.1522773062652558,-0.14817234917503447,-0.14979746377908562,-0.1524377279195538,0.0036010591822862193,31
228.78851566314697,2.1836570844364207,0.040236282348632815,0.0011669482284803446,0.05,5,500,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",-19647065.824237753,-18533800.49682477,-17203144.256093916,-17525470.495960493,-17301291.118059516,-18042154.43823529,931368.3744867352,16,-4432.501080004127,-4305.090068375431,-4147.6673270760175,-4186.343332308101,-4159.482073294645,-4246.216776211664,108.61642442058118,16,-3244.6054889965726,-3171.190047653718,-3116.7890822656304,-3136.6380837238244,-3134.2878245974125,-3160.7021054474317,45.508064520522076,19,-0.13377469127417274,-0.1296271936888097,-0.1239015980861314,-0.12411789628560961,-0.12260925957746635,-0.12680612778243797,0.00423782666124041,18
465.67278184890745,6.685311895949238,0.0764693260192871,0.002655839199612821,0.05,5,1000,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1000}",-18862924.25971419,-18026929.050502792,-16515253.784069065,-16862877.155666865,-16618714.529386904,-17377339.755867966,917856.6112202686,9,-4343.146815353378,-4245.813120063434,-4063.8963795929967,-4106.443370566172,-4076.605760848957,-4167.181089284988,109.27728480131445,9,-3151.229158907482,-3090.238077479111,-3027.8286363443285,-3036.3226981747875,-3031.6415697056773,-3067.452028122277,47.66392551787757,13,-0.12882856260901226,-0.12510945524210862,-0.11946522263368392,-0.12003282396050652,-0.11768254924043234,-0.12222372273714874,0.0041226927807132925,12
20.833514595031737,0.27343288472382876,0.018817424774169922,0.005158362211482966,0.05,8,50,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50}",-24390409.60360396,-22046011.723653123,-22283416.770889103,-22207101.95880351,-22185654.20208401,-22622518.851806737,887266.624815175,30,-4938.664759183798,-4695.31806416276,-4720.531407679553,-4712.441188895996,-4710.164986715859,-4755.424081327593,91.9818380788181,30,-3767.229876185585,-3576.612392629466,-3647.3777252339364,-3639.9524362105944,-3651.404415583957,-3656.5153691687083,61.68652503621825,32,-0.16118067457632868,-0.15422385779869616,-0.15474167934003485,-0.15189013331186035,-0.15283078402847677,-0.15497342581107937,0.003263222404618276,33
50.19437108039856,1.2659345102448292,0.027425289154052734,0.005467277577448555,0.05,8,100,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 100}",-20708521.439054526,-18805467.25681961,-18405220.10863917,-18393264.811892703,-18469977.4120667,-18956490.20569454,888846.1774964249,22,-4550.661648491846,-4336.527096285645,-4290.130546806142,-4288.736971637769,-4297.671161462531,-4352.745484936786,100.48357605578575,22,-3330.213681069073,-3181.69880575262,-3211.4861006460956,-3207.356662929965,-3222.065436531254,-3230.5641373858016,51.56091245232193,22,-0.1382638405801139,-0.13233458263214148,-0.13048578499594055,-0.1296218878810884,-0.1294587269084624,-0.13203296459954933,0.0032786748628402048,23
328.2958579540253,3.9542664671764127,0.06405820846557617,0.001415560978280748,0.05,8,500,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 500}",-18382242.393318985,-17447295.327079784,-16351566.788620975,-16446080.499001587,-16542330.828996934,-17033903.167403657,779958.1441343997,2,-4287.451736558557,-4176.9959692439,-4043.707060188828,-4055.376739465963,-4067.226429521343,-4126.151586995718,93.68163393306651,2,-3055.179726483843,-2978.243084197712,-2972.860498093215,-2963.0425198058633,-2972.407658602569,-2988.346697436641,33.772513992104045,6,-0.1243604099840456,-0.12040033809451088,-0.11714458822621898,-0.11800086153414656,-0.11632513700731344,-0.11924626696924709,0.0028978415218628047,6
