mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_absolute_percentage_error,split1_test_neg_mean_absolute_percentage_error,split2_test_neg_mean_absolute_percentage_error,split3_test_neg_mean_absolute_percentage_error,split4_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error
0.016997289657592774,0.0008590487797100727,0.0012960433959960938,0.0004022438978583901,1.438449888287663,{'alpha': 1.438449888287663},-25621481.813307147,-26363232.799398836,-27561186.624485932,-26789631.693523604,-26665904.14317976,-26600287.414779056,628925.9731161455,4,-5061.7666691884515,-5134.513881508047,-5249.8749151275915,-5175.87013878088,-5163.903963396275,-5157.185913600249,60.99891263146626,4,-3953.011705276437,-3933.258252134187,-3991.8570454961095,-3990.1129186179433,-3964.3709936051537,-3966.522183025966,22.32499847914643,3,-0.15481569620717273,-0.1608413519751857,-0.1576943991274057,-0.1595038699166578,-0.16662915064894057,-0.15989689357507247,0.003925284780950789,11
0.01722412109375,0.00030889787139789886,0.0012421607971191406,0.0003934398100227565,2.976351441631316,{'alpha': 2.976351441631316},-25615975.716254987,-26376353.090993315,-27550815.470214363,-26790097.996742025,-26678051.043514002,-26602258.66354374,626829.4018727947,7,-5061.222749124463,-5135.79137923196,-5248.887069676234,-5175.91518446178,-5165.079964871212,-5157.37926947313,60.80899894377503,7,-3952.047222392866,-3933.5043824589065,-3991.0382752383002,-3989.6041956462655,-3964.9998955064275,-3966.2387942485525,22.07004094640321,1,-0.15483445468930365,-0.16086632520901445,-0.15769286128309587,-0.1595055245358851,-0.16665576904662643,-0.1599109869527851,0.003930913831602998,12
0.01735382080078125,0.0005003420831400832,0.0014243602752685546,0.0005045793024448371,6.158482110660261,{'alpha': 6.158482110660261},-25607122.28915459,-26406328.27751308,-27536375.708143413,-26795158.818620764,-26711875.219037455,-26611372.062493864,624511.1306740757,13,-5060.348040318431,-5138.708814236616,-5247.511382373878,-5176.404043215789,-5168.353240543593,-5158.265104137661,60.60674821785756,13,-3950.4023564067315,-3934.5068480657374,-3990.686355161012,-3988.9962666727906,-3967.132507892485,-3966.344866839752,21.79007767255388,2,-0.1548740005772554,-0.1609299030944676,-0.15773206889637242,-0.15952962469708934,-0.16674736004607912,-0.15996259146225278,0.00395032213525457,13
0.01654205322265625,0.0008106319987994223,0.0009986400604248048,7.297674522330382e-05,12.742749857031322,{'alpha': 12.742749857031322},-25605303.079134595,-26478012.793385025,-27528068.331903726,-26821025.9492138,-26791324.53864333,-26644746.938456096,623066.5740426754,14,-5060.16828565361,-5145.679041038707,-5246.719768760642,-5178.902002279421,-5176.0336686157025,-5161.500553269617,60.48947886646759,14,-3949.152498861989,-3937.3751622432874,-3990.687296727553,-3989.9611619810125,-3972.865685761084,-3968.008361114985,21.511808866373862,14,-0.1549896327300735,-0.16109012631115763,-0.1578322717150397,-0.15967322379088264,-0.16700331663327123,-0.16011771423608492,0.0040018781795816616,14
0.016840028762817382,0.0013715976251734954,0.0012295246124267578,0.00029227496242733995,26.366508987303554,{'alpha': 26.366508987303554},-25638643.85058667,-26632292.954242736,-27550399.553800475,-26905509.187796373,-26954004.914386913,-26736170.09216263,625212.2305286217,15,-5063.461646994739,-5160.648501326431,-5248.847450040864,-5187.052071051184,-5191.724657027462,-5170.3468652881365,60.69089526266169,15,-3950.0303044523635,-3944.4467671518505,-3992.5565820351235,-3994.679839500562,-3984.5087057625165,-3973.244439780483,21.57554595181857,15,-0.15528874552571717,-0.16147724652878687,-0.15807555419338504,-0.16008648915656928,-0.16755871697817104,-0.16049735047652589,0.004098452462543718,15
0.017705869674682618,0.00039223392234416103,0.0010009288787841796,1.8495750583616776e-05,54.555947811685144,{'alpha': 54.555947811685144},-25752814.100526843,-26913654.44687155,-27638482.4424806,-27107478.406092256,-27237461.960449547,-26929978.271284156,634667.2560831573,16,-5074.723056534893,-5187.837164644969,-5257.231442734912,-5206.484265422518,-5218.952189898806,-5189.04562384722,61.5124777275307,16,-3954.7205697032196,-3958.5093801896087,-3998.5831066509018,-4007.783671461593,-4001.7306119912896,-3984.2654679993225,22.80091664779659,16,-0.15588452451815096,-0.16227153212344117,-0.15860123272501755,-0.16100485973224007,-0.16846436386787633,-0.1612453025933452,0.004217934388854665,16
0.01735372543334961,0.00025478933179187366,0.0014228343963623047,0.0005188462554766934,112.88378916846884,{'alpha': 112.88378916846884},-26005345.778389618,-27364307.266672097,-27838982.79872339,-27495001.105376784,-27666476.61902013,-27274022.713636406,654174.882084696,17,-5099.543683349483,-5231.090447189008,-5276.265990141455,-5243.567593287683,-5259.893213651788,-5222.0721855238835,63.125294567350686,17,-3969.536241381841,-3985.4843599324613,-4009.820207733859,-4036.2019261918012,-4027.5317578738996,-4005.714898622772,25.061754511337597,17,-0.15706449263772282,-0.1637954624601581,-0.15954056127136074,-0.1628001446126182,-0.17000643667167809,-0.1626414195307076,0.0043890300007105865,17
0.016971874237060546,0.0013383431204698783,0.0013014793395996094,0.00038604588494187413,233.57214690901213,{'alpha': 233.57214690901213},-26489942.68843157,-28057759.819937434,-28250116.863188148,-28157143.254166104,-28289028.237540893,-27848798.17265283,684118.2774538117,18,-5146.838125337882,-5296.957600353002,-5315.083899919939,-5306.33048859248,-5318.7431069323975,-5276.79064422714,65.41154064653112,18,-4000.944991375635,-4031.8457819891223,-4034.6959259989667,-4083.682778576682,-4064.925177033658,-4043.218930994813,28.627120643258493,18,-0.15920934608480183,-0.16650215109842068,-0.16141893752336306,-0.16577794690354056,-0.17247273662594878,-0.16507622364721497,0.004583232112673639,18
0.0171567440032959,0.00040049843878494723,0.0012056350708007813,0.00040140279428465967,483.2930238571752,{'alpha': 483.2930238571752},-27377227.277561538,-29130456.287965782,-29059521.7407551,-29236852.937074084,-29244099.92816922,-28809631.634305142,719504.8998900361,19,-5232.325226661807,-5397.263777875395,-5390.688429204112,-5407.111330190463,-5407.781423852966,-5367.0340375569485,67.65555417183471,19,-4067.206384608452,-4117.987775482987,-4089.649996192799,-4162.888339002606,-4130.614421710365,-4113.669383399441,33.05761528799758,19,-0.16315449630606316,-0.17154352804969594,-0.16522578361003376,-0.17071939638297462,-0.17663381664800704,-0.16945540419935493,0.004797471695527433,19
0.016988277435302734,0.00042097287045581526,0.001612091064453125,0.0005094478880794586,1000.0,{'alpha': 1000.0},-28936354.565317653,-30794203.23152934,-30525853.282657266,-30969242.69300601,-30798129.73599363,-30404756.701700777,747786.6800282018,20,-5379.252231055693,-5549.252493041684,-5525.020659025382,-5565.001589667878,-5549.606268555782,-5513.626648269284,68.39506704144512,20,-4192.586686799616,-4252.2476436418865,-4206.187737123722,-4300.770871511674,-4254.162189385438,-4241.1910256924675,38.543144359815095,20,-0.17017681174404795,-0.1795919352388858,-0.17247303142241643,-0.17910887320994914,-0.18380127976187988,-0.17703038627543582,0.0049893407730379116,20
